,description
10547,"""fer-pal infrastructure is proud to offer a cement mortar lining solution that improves the best quality of water. the team is pleased to provide excellent services that help to maintain good functional pipes for your water sanitation. through the expertise of their engineers, they bring you their cement mortar lining solution that makes sure to give you water that is beneficial to everyone. the clear water is free of odor, poor color, unpleasant taste, and turbidity. their cement mortar lining solution also can self-heal and seal cracks, which may occur during initial setting shrinkage. for years, their services have trusted by their clients, and when you work with them, you can expect to have the best sanitation of your water. for inquiries, call them at +1 416-742-3713 or check their website. you may also visit their office located at 171 fenmar drive toronto, ontario."""
13014,"""vista credit corp is a residential equipment leasing business which focuses on water heater, heating, ventilation and air conditioning, water treatment and alarm security systems.vista is based in ottawa, ontario, canada and its business activities span seven provinces across canada."""
15046,purlucid treatment solutions is a cutting-edge north american services company whose proprietary technologies are revolutionizing water treatment.
19306,"""h2o innovation is known for its state of the art water & wastewater treatment systems. through the years, we have developed a strong knowledge of membrane filtration and a solid understanding of the water industry. this brought us to elaborate a comprehensive offer and provide complete engineering services, in-house manufacturing and thorough after sale service.the progression and maturity of the company naturally led us to erect a second pillar to enrich our business offer: the sale of specialty products and services, including the sale of maple equipment. with this solid business model, h2o innovation positioned itself as a leader among the major water treatment players and is continuously increasing its market share. collapse"""
590,taphax is a real time water consumption tool to save money and promote a sustainable lifestyle to address the intangibility of water waste. taphax faucet can integrate easily onto faucets allowing you to visualize your consumption.
1417,"""the group currently operates mainly in the five business areas of aircraft, special purpose trucks, fluid (water treatment equipment), industrial machinery systems, and parking systems, with the entire group working in concert to cover everything from production through after-sales services."""
16123,"""acuva technologies is developing ultraviolet light emitting diode (uv-led) based drinking water purification systems targeting low to moderate volumes of water in various sizes. acuvaâ€™s reactor is a compact, modular, and scalable system comprising uv leds, to provide a dose of uv radiation to water flowing through the device. the uv puriication... read more"""
10663,"""provider of water data analysis software intended to predict water issues. the company's application provide machine learning algorithms in scientific literature along with artificial technology, enabling clients to predict water problems intended based on the water analysis."""
18177,"""earth smart offers eco friendly calgary agriculture solutions, gardening solutions, lawn care solutions, livestock solutions aquatic solutions, waste water treatment and environmental solutions that can meet the specific needs associated with a sustainable environment.earth smart offers innovative and eco friendly enviromental... read more"""
11018,"""4deep inwater imaging is a privately owned, halifax-based ocean technology firm specializing in the design, production and sale of submersible microscopes. these devices are used to monitor water quality in real-time and are based upon the principle of digital in-line holography. applications include monitoring and quantifying oil in water, harmful... read more"""
11546,"""saltworks technologies treats the toughest waters. we deliver innovative solutions that make clean water, concentrate brine, and achieve zero liquid discharge (zld). with plants sold worldwide and repeat orders from major international customers, saltworks has an established history of designing, building, and operating full-scale water treatment systems. collapse"""
14641,zenon environmental is a water treatment company engaged in manufacture and sale of membrane-based wastewater treatment systems.
6469,"""texers inc. is a growing international technical ceramics company. we design, produce and supply different products and components made of a variety of engineered ceramics for a wide range of applications in automotive & aerospace, solid oxide fuel cell, medical and healthcare, security & defense, oil & gas / petrochemical, energy & environment, semiconductor-processing, telecommunications and water treatment industries."""
13391,"""tablâ€™eau filtered water provides exceptional drinking water while advocating sustainability. tablâ€™eau enables the purification of source (tap) water using state-of-the-art filtration systems to produce premium quality ambient, chilled, still and sparkling water. the tablâ€™eau solution facilitates the elimination of bottled water, including the carbon footprint from packaging, transport and recycling of water bottles. collapse"""
6177,"""we venture to bring originally designed art prints, greeting cards, paper products and home decor products that make a difference. we bring forth a line of interior decor in hopes that our products will not only add that special touch to your business, office, desk space or room, but also reach out to our customers whether it be an inspiration, amusement or kindred-ship. impaper, which stands for impact paper was designed to change lives. we are a paper goods social enterprise and every product purchased contributes to a variety of causes ranging from tree planting, to giving vaccinations for diseases, to creating scholarships. since may 31, 2015 we've given over 1500 meals, 5000 water purification tablets, 300 tetanus vaccines and more! impaper offers original prints, cards and home decor products in various styles, materials and sizes."""
15972,"""the solution that oneka developed takes the resource and energy off the ocean to provide drinking water. it consists of buoys that take the oceanâ€™s waves to make its saltwater fresh. as the waves hit the buoys, they do a vertical pumping movement which pressurizes the seawater through reverse osmosis (ro) membranes to produce drinking water. the... read more"""
13693,"""livestock water recycling is the worldâ€™s leading provider of manure treatment technology. from their innovation center in calgary, alberta, they work with farms around the world to help reduce greenhouse gas emissions, concentrate and segregate nutrients for strategic fertilizer application, and recycle clean, reusable water.the lwr system is... read more"""
10311,"""the product is a software that works on cell phones and pcs. the software integrates multiple data sources in addition to the real-time network data, including information of weather and operational events (such as repairs or maintenance) that have an impact on water quality and then analyze them. it's smart algorithms predicts and prioritizes events depending on the severity of the problem. the customer of the product is owners/managers of small and rural communities. the softwareâ€™s interface can show the entire infrastructure network or can be customized to individual users so that when a utility analyst accesses the system, he or she will see an â€œinboxâ€ listing the events. operators, managers, and analysts at the facility can communicate through the system to coordinate repairs and track eventsâ€™ status. the facility can generate reports of all events and their outcomes to create an overview of the infrastructure."""
7097,"""our inflatable grow bed systems form a channel structure for growing plants in indoor spaces, challenging outdoor environments, rooftops and greenhouses. using air circulation, our grow beds form a barrier with the environment, reduce water consumption and give the user an affordable way to recycle nutrients and control the climate of their crops. manufactured with recyclable, food-grade polyethylene film. our grow beds do not leach harmful toxins into the growth environment. we use approximately 70% less plastic than competing hydroponic systems, we don't use harmful pvc resins and we can sell our systems for a fraction of the cost on a per/plant basis. the patented inflatable design has many inherent advantages. our units can be rolled up and stored for easy shipping, deployment and storage. the air flow can be used to channel air around the growing environment - easily controlling the temperature, humidity and co2 from a single location."""
